Entry ID,Symbol,Side,Entry Date,Exit Date,Entry Price,Exit Price,Size,PnL,PnL %,Setup,Strategy,Timeframe,Outcome,Reviewed,Tags,Notes
je_1,BTC/USDT,short,2025-04-01 05:37,2025-04-01 06:37,59894.91719122306,55547.72154489042,0.1,-434.71956463326427,-7.26%,other,Momentum,5m,big_loss,No,"swing, high-confidence",Market conditions were favorable. Followed the plan.
je_2,SOL/USDT,long,2025-06-14 05:37,2025-06-15 16:37,56487.621526141615,56111.649177076615,0.1,-37.59723490649994,-0.67%,breakout,Breakout,4h,breakeven,Yes,"scalp, swing",Market conditions were favorable. Followed the plan.
je_3,BTC/USDT,short,2025-06-19 05:37,2025-06-21 03:37,43716.36106428786,41459.245129102055,0.1,-225.7115935185808,-5.16%,breakout,Mean Reversion,4h,big_loss,Yes,"high-confidence, swing",Market conditions were favorable. Followed the plan.
je_4,BTC/USDT,long,2025-07-26 05:37,2025-07-27 03:37,43442.98646253714,41611.13184948303,0.1,-183.18546130541145,-4.22%,scalping,Breakout,1h,small_loss,Yes,"low-risk, swing",Market conditions were favorable. Followed the plan.
je_5,BTC/USDT,short,2025-07-11 05:37,2025-07-14 04:37,58178.40663894059,55811.48765432712,0.1,-236.6918984613476,-4.07%,breakout,Momentum,4h,small_loss,Yes,"high-confidence, scalp",Market conditions were favorable. Followed the plan.
je_6,ETH/USDT,short,2025-10-23 05:37,2025-10-25 15:37,46032.12065263673,44168.572592525445,0.1,-186.3548060111287,-4.05%,other,Breakout,15m,small_loss,Yes,"scalp, swing",Market conditions were favorable. Followed the plan.
je_7,SOL/USDT,long,2025-07-04 05:37,2025-07-05 19:37,50418.78162543375,51345.27089445203,0.1,92.64892690182751,1.84%,other,Breakout,4h,small_win,Yes,"scalp, high-confidence",Market conditions were favorable. Followed the plan.
je_8,BTC/USDT,short,2025-06-28 05:37,2025-06-30 05:37,53131.08628283587,55054.72551722019,0.1,192.3639234384318,3.62%,swing,Breakout,4h,small_win,No,"low-risk, scalp",Market conditions were favorable. Followed the plan.
je_9,BTC/USDT,short,2025-10-14 05:37,2025-10-16 19:37,49417.085489269026,50297.63431335395,0.1,88.05488240849228,1.78%,range_trading,Mean Reversion,4h,small_win,Yes,"high-confidence, low-risk",Market conditions were favorable. Followed the plan.
je_10,SOL/USDT,long,2025-06-19 05:37,2025-06-19 07:37,58558.50804375257,61647.27763422382,0.1,308.8769590471253,5.27%,pullback,Mean Reversion,5m,big_win,No,"scalp, swing",Market conditions were favorable. Followed the plan.
je_11,ETH/USDT,short,2025-05-09 05:37,2025-05-10 12:37,48514.0030673253,47339.00887739296,0.1,-117.49941899323386,-2.42%,range_trading,Momentum,4h,small_loss,No,"scalp, low-risk",Market conditions were favorable. Followed the plan.
je_12,BTC/USDT,short,2025-08-13 05:37,2025-08-15 00:37,48571.532047175126,50232.31105827457,0.1,166.07790110994466,3.42%,reversal,Breakout,1h,small_win,No,"high-confidence, low-risk",Market conditions were favorable. Followed the plan.
je_13,ETH/USDT,short,2025-09-09 05:37,2025-09-09 13:37,45559.83227586009,41449.480803203456,0.1,-411.03514726566357,-9.02%,trend_following,Breakout,4h,big_loss,Yes,"high-confidence, swing",Market conditions were favorable. Followed the plan.
je_14,SOL/USDT,short,2025-10-05 05:37,2025-10-05 18:37,44103.1303598939,45923.722342347195,0.1,182.05919824532975,4.13%,other,Breakout,5m,small_win,Yes,"high-confidence, low-risk",Market conditions were favorable. Followed the plan.
je_15,ETH/USDT,short,2025-03-17 05:37,2025-03-19 12:37,46949.30321973923,49445.560373253036,0.1,249.6257153513805,5.32%,reversal,Momentum,1h,big_win,Yes,"low-risk, scalp",Market conditions were favorable. Followed the plan.
je_16,ETH/USDT,long,2025-08-13 05:37,2025-08-14 04:37,46433.030961844604,40821.717090451995,0.1,-561.1313871392609,-12.08%,pullback,Mean Reversion,4h,big_loss,Yes,"swing, low-risk",Market conditions were favorable. Followed the plan.
je_17,SOL/USDT,long,2024-12-17 05:37,2024-12-19 10:37,49748.94676839624,51875.02466140605,0.1,212.60778930098095,4.27%,range_trading,Mean Reversion,5m,small_win,No,"high-confidence, swing",Market conditions were favorable. Followed the plan.
je_18,ETH/USDT,long,2025-01-26 05:37,2025-01-28 22:37,50847.16350579153,51935.495935448045,0.1,108.83324296565189,2.14%,trend_following,Momentum,15m,small_win,Yes,"high-confidence, low-risk",Market conditions were favorable. Followed the plan.
je_19,ETH/USDT,long,2025-08-11 05:37,2025-08-12 21:37,53366.38692095564,55737.32719349434,0.1,237.09402725386974,4.44%,breakout,Mean Reversion,5m,small_win,Yes,"high-confidence, swing",Market conditions were favorable. Followed the plan.
je_20,SOL/USDT,short,2025-05-21 05:37,2025-05-22 08:37,50600.429204090135,51075.4988621393,0.1,47.506965804916405,0.94%,range_trading,Momentum,15m,small_win,No,"swing, scalp",Market conditions were favorable. Followed the plan.
je_21,ETH/USDT,long,2025-02-05 05:37,2025-02-08 03:37,40525.36760691404,43184.830541241936,0.1,265.9462934327894,6.56%,other,Breakout,1h,big_win,Yes,"scalp, low-risk",Market conditions were favorable. Followed the plan.
je_22,BTC/USDT,short,2025-09-02 05:37,2025-09-04 20:37,50959.11492599201,51067.40781152175,0.1,10.829288552973594,0.21%,swing,Mean Reversion,15m,small_win,No,"scalp, swing",Market conditions were favorable. Followed the plan.
je_23,BTC/USDT,short,2025-10-25 05:37,2025-10-27 00:37,59751.336537752155,59823.53229704018,0.1,7.219575928802806,0.12%,other,Breakout,1h,small_win,Yes,"high-confidence, low-risk",Market conditions were favorable. Followed the plan.
je_24,BTC/USDT,long,2025-02-03 05:37,2025-02-03 10:37,41922.83009923397,40598.14037186077,0.1,-132.46897273732029,-3.16%,swing,Breakout,15m,small_loss,Yes,"high-confidence, swing",Market conditions were favorable. Followed the plan.
je_25,BTC/USDT,short,2025-02-10 05:37,2025-02-12 07:37,51182.189276518155,51808.62746866255,0.1,62.64381921443928,1.22%,swing,Mean Reversion,5m,small_win,Yes,"high-confidence, scalp",Market conditions were favorable. Followed the plan.
je_26,BTC/USDT,long,2025-08-01 05:37,2025-08-03 17:37,51311.975906724816,51446.59227236528,0.1,13.461636564046058,0.26%,scalping,Breakout,5m,small_win,Yes,"low-risk, swing",Market conditions were favorable. Followed the plan.
je_27,BTC/USDT,short,2025-03-03 05:37,2025-03-03 21:37,58785.56962697793,62891.31708582845,0.1,410.57474588505215,6.98%,range_trading,Breakout,1h,big_win,No,"high-confidence, low-risk",Market conditions were favorable. Followed the plan.
je_28,SOL/USDT,short,2025-08-19 05:37,2025-08-19 09:37,47506.996441829506,52462.75929398348,0.1,495.5762852153974,10.43%,range_trading,Breakout,5m,big_win,Yes,"low-risk, scalp",Market conditions were favorable. Followed the plan.
je_29,BTC/USDT,long,2025-08-23 05:37,2025-08-25 07:37,53985.57882645377,54615.655970266256,0.1,63.00771438124866,1.17%,breakout,Mean Reversion,4h,small_win,Yes,"swing, scalp",Market conditions were favorable. Followed the plan.
je_30,BTC/USDT,long,2024-12-20 05:37,2024-12-21 20:37,59289.56329040397,60561.46289194761,0.1,127.18996015436424,2.15%,breakout,Momentum,4h,small_win,Yes,"high-confidence, scalp",Market conditions were favorable. Followed the plan.
je_31,BTC/USDT,long,2025-10-11 05:37,2025-10-12 05:37,59996.480333496744,61382.3476505777,0.1,138.5867317080956,2.31%,swing,Mean Reversion,5m,small_win,Yes,"swing, low-risk",Market conditions were favorable. Followed the plan.
je_32,BTC/USDT,short,2025-05-20 05:37,2025-05-20 06:37,49515.54890417298,51491.865301789934,0.1,197.63163976169528,3.99%,other,Momentum,4h,small_win,No,"scalp, high-confidence",Market conditions were favorable. Followed the plan.
